이수구분,교과명,분반,학점,담당교수,강의시간
교필,LCT(LearningbyC0mmunication&Teamwork),04,2,정소명,목09:30-11:30
교필,LCT(LearningbyC0mmunication&Teamwork),05,2,정소명,목11:30-13:30
교필,LCT(LearningbyC0mmunication&Teamwork),06,2,정소명,금09:30-11:30
교필,LCT(LearningbyC0mmunication&Teamwork),07,2,정소명,화09:30-11:30
교필,LCT(LearningbyC0mmunication&Teamwork),08,2,정소명,수09:30-11:30
교필,LCT(LearningbyC0mmunication&Teamwork),09,2,정소명,"수11:30-13:30,수01:30-13:30"
교필,LCT(LearningbyC0mmunication&Teamwork),10,2,조용기,목09:30-11:30
교필,LCT(LearningbyC0mmunication&Teamwork),11,2,조용기,금09:30-11:30
교필,LCT(LearningbyC0mmunication&Teamwork),12,2,조용기,금11:30-13:30
교필,LCT(LearningbyC0mmunication&Teamwork),13,2,조용기,월09:30-11:30
교필,LCT(LearningbyC0mmunication&Teamwork),14,2,조용기,화09:30-11:30
교필,LCT(LearningbyC0mmunication&Teamwork),15,2,조용기,수09:30-11:30
교필,LCT(LearningbyC0mmunication&Teamwork),16,2,조용기,목09:30-11:30
교필,LCT(LearningbyC0mmunication&Teamwork),17,2,정영웅,월09:30-11:30
교필,LCT(LearningbyC0mmunication&Teamwork),18,2,정영웅,월11:30-13:30
교필,LCT(LearningbyC0mmunication&Teamwork),19,2,정영웅,화09:30-11:30
교필,LCT(LearningbyC0mmunication&Teamwork),20,2,손영경,화11:30-13:30
교필,LCT(LearningbyC0mmunication&Teamwork),21,2,손영경,월13:30-15:30
교선,일본어회화,01,2,박선옥,월09:30-11:30
교선,일본어회화,02,2,박선옥,월11:30-13:30
교선,일본어회화,03,2,박선옥,화09:30-11:30
교선,일본어회화,04,2,박선옥,수09:30-11:30
교선,일본어회화,05,2,박선옥,수11:30-13:30
교선,일본어회화,06,2,71大卜나,목11:30-13:30
교선,일본어회화,07,2,71大卜나,수13:30-15:30
교선,일본어회화,08,2,71大卜나,목09:30-11:30
교선,일본어회화,09,2,71大卜나,목11:30-13:30
교선,일본어회화,10,2,71大卜나,월09:30-11:30
교선,일본어회화,11,2,71大卜나,월11:30-13:30
교선,인간과언어,12,2,노은미,화09:30-11:30
교선,인간과언어,13,2,노은미,화11:30-13:30
교선,인간과언어,14,2,김연회,화13:30-15:30
교선,인간과언어,01,2,김연회,월13:30-15:30
교선,응급저치법,01,2,임기태,화09:30-11:30
교선,응급저치법,02,2,임기태,화11:30-13:30
교선,인간과신화,01,2,김영주,금21:20-22:10
교선,인간과종교,01,2,이현,화11:30-13:30
교선,인간과종교,02,2,이현,화13:30-15:30
교선,인문학과자기경영의만남,01,3,김영미,
교선,동시대의문학제험,01,2,신종곤,금09:30-11:30
교선,초급영어청취,01,2,이희정,목11:30-13:30
교선,고전인문학산책,01,2,임보연,목09:30-11:30
교선,세계전쟁사,01,2,최한진,수09:30-11:30
교선,세계전쟁사,02,2,최한진,수13:30-15:30
교선,한국전쟁사,01,2,최한진,화09:30-11:30
교선,한국전쟁사,02,2,최한진,화11:30-13:30
교선,한국전쟁사,03,2,최한진,화13:30-15:30
교선,리타로와심학,01,2,김 영 환,화13:30-15:30
교선,리타로와심학,02,2,김 영 환,목13:30-15:30
교선,토익입문,01,2,이희정,월09:30-11:30
교선,토익입문,02,2,이희정,월11:30-13:30
교선,토익입문,03,2,이희정,월13:30-15:30
교선,입문중국어,01,2,임지강,수11:30-13:30
교선,중국어회화,01,2,임지강,수13:30-15:30
교선,중국어회화,02,2,임지강,수15:30-17:30
교선,일본어입문,01,2,71大卜나,수09:30-11:30
교선,일본어입문,02,2,71大卜나,수11:30-13:30
교선,초급영어독해,01,2,백승봉,"수19:15-20:05,수09:30-11:30"
교선,초급영어독해,01,2,백승봉,"수09:30-11:30,수19:15-20:05"
교선,토익LC,01,2,2침호정,화09:30-11:30
교선,토익LC,02,2,2침호정,화11:30-13:30
교선,토익LC,03,2,2침호정,화13:30-15:30
교선,영미명작과영화,01,2,양균원,화09:30-11:30
교선,한국사,01,2,김형기,목09:30-11:30
교선,동양철학의이해,01,2,이현,월09:30-11:30
교선,동양철학의이해,02,2,이현,화09:30-11:30
교선,인물로풀어본중국역,01,2,기 더사,월15:30-17:30
교선,인물로풀어본중국역,02,2,기 더사,화15:30-17:30
교선,노자와공자의사상,01,2,김덕삼,목19:40-20:30
