페이지,학과/구분,학년,이수구분,교과번호,교과목명,분반,학점,강의,실습,담당교수,수업시간,강의실,비고
108,AI빅데이터전공,3,전필 전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,567028,딥러닝의이해및실습 서버구축관리,,3 3,,,AI빅강사1,"화1 :30-17:30, 수11:30-13:30",공다A 1 - VR실습실 공다A 09 - 캡스톤디자인실습실 캡스톤디자인실습실,
109,스마트융합보안학과,1 2,전필 전선,576007,***융합산업보안론 이산수학구조론 SW프로그래밍Ⅰ 현대암호학 데이터구조 운영체제와아키텍처,""" ! #$",3 3 3 3 3 3,,,김자원 김자원,"화13:30-1 :00, 수13:30-1 :00 목13:30-1 :30 금10:00-11:30 수11:30-13:30",공나A 11 - 강의실(공용) 공나A 11 - 강의실(공용) 정보 09 정보실습실F 공나A 11 - 강의실(공용) 공다B 312 - 컴퓨터실습실 e-learning(온라인)1,첫째날보안1학년 만/둘째날11시전 첫째날보안1학년 만/둘째날11시전 체 첫째날보안1학년 만/둘째날11시전 체 체 [원격수업]
109,스마트융합보안학과,1 2,전필 전선,576017,사이버보안 데이터베이스및보안,,3 3,,,,"목13:30-1 :00, 금13:30-1 :00 수10:00-11:30, 금12:00-13:30",공다B 302 - 강의실(공용) 공다B 302 - 강의실(공용),
109,스마트융합보안학과,1 2,전필 전선,576018,컴퓨터네트워크와보안,,3,,,스마강사,"월09:30-11:30, 목09:30-11:30",공다B 312 - 컴퓨터실습실,
109,스마트융합보안학과,3,전필 전선,576019,인공지능및보안,,3,,,,목13:30-1 :00,공나A 12 - 시청각강의실,
109,스마트융합보안학과,3,전필 전선,576020,디지털포렌식,,3,,,김자원,수13:30-1 :30,공다B 312 - 컴퓨터실습실,
109,스마트융합보안학과,3,전필 전선,576021,스마트물리보안,,3,,,,,공나A 11 - 강의실(공용),
109,스마트융합보안학과,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,576028,악성코드분석 SW오픈소스기초 캡스톤디자인(보안인증),,3 3 3,,,정수경 스마강사12,"월12:00-13:30, 수13:30-1 :00 월13:30-1 :30, 금09:30-11:30",공다B 302 - 강의실(공용) 정보 07 정보실습실G 공다B 312 - 컴퓨터실습실,
113,전기공학과,1,,511001,기초창의적공학설계 ***전기의세계,""" ! #$",3 3,,,전기강사1,목11:30-13:00,공다B 31 - 캡스톤디자인실 공나B 109 -멀티 강의실,"전기과1학년만수 강/수강변경둘째 공학자율학부, 자율전공학부 날1 시전체"
113,전기공학과,2,전필,522002,기초회로실험 회로이론I,01 02,3 3 3,,,정택근,목09:30-13:30 목13:30-17:30 수10:00-11:30,공다B 210 - 전기기기실험실 공다A 21 - 강의실(공용),전기과2학년만수 1학년만 수강 강/수강변경둘째
