페이지,학과/구분,학년,이수구분,교과번호,교과목명,분반,학점,강의,실습,담당교수,수업시간,강의실,비고
137,국제경영학과,3,전선,872023,국제통상정책이론 국제경영성공사례 국제협상세미나 국제경제법,01 02 01 02,3 3 3 3 3 3,,,,,대교209 - 강의실 대교307 - 강의실 사10 - 교양A/V강의실 사10 - 교양A/V강의실 대20 - 강의실 사10 - 교양A/V강의실,국제경영학과 외국인 유학생만 수강가능 국제경영학과 외국인 유학생만 수강가능 국제경영학과 외국인 유학생만 수강가능 국제경영학과 외국인 유학생만 수강가능 수강가능
139,캐릭터 ․ 아트상품융합전공,,,823000,캐릭터영상표현,,2,,,노승복,,정보 202 정보실습실B,
139,캐릭터 ․ 아트상품융합전공,2,,823001,삽화일러스트레이션 캐릭터표현,,3,,,김현성,,공가A 210 - 평면실습실1 공가A 1 - 융합실습실,
139,캐릭터 ․ 아트상품융합전공,3,,823003,캐릭터원형제작Ⅱ 아트굿즈,,3 3 3,,,최윤정 이승연 이희승,,공가A 1 - 융합실습실 공가B 201 - 조형실습실1,
139,캐릭터 ․ 아트상품융합전공,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,823006,예술문화산업연구 캡스톤디자인(아트상품종 합설계Ⅰ) 3D프린팅,,3 3 3,,,이해인 허혁준,,공가A 02 - 이론강의실 공가A 1 - 융합실습실 공가A 207 - PC실습실2,
140,K문화콘텐츠융합전공,1 2,,081010,문화트렌드의이해 영상콘텐츠산업과영화읽 기 문화원형과동양고전,,3 3 3,,,,목13:30-1 :00,인210 - 일반A/V강의실 예22 - 포스트프로덕션실 인302 - 문화콘텐츠A/V강의실,역사 ․ 문화콘텐 츠학과
140,K문화콘텐츠융합전공,1 2,,081002,콘텐츠기획및제작 문화브랜딩과포지셔닝기 법,,3 3,,,,,인302 - 문화콘텐츠A/V강의실 대301 - 강의실,역사 ․ 문화콘텐 츠학과
140,K문화콘텐츠융합전공,3,,081003,디자인과문화,,3,,,,,인306 - 국문A/V강의실,
140,K문화콘텐츠융합전공,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,081011,K-문화코드읽기 캐릭터산업과광고,,3 3,,,,,인302 - 문화콘텐츠A/V강의실 예302 - 시사실,
141,게임 ․ 콘텐츠융합전공,2,,690001,게임기획과스토리텔링,01,3 3,,,,수09:30-13:30,정보 0 정보실습실I 공가B 212 - PC실습실1,만화게임그래픽 전공 만화게임 2학년 우선 신청/3일차
141,게임 ․ 콘텐츠융합전공,2,,690008,게임컨셉디자인 캡스톤디자인(게임에셋활 용),02,3 3,,,김진훈 미술강사1,금09:30-13:30,정보 08 정보실습실E 공가B 212 - PC실습실1,전공 제한 해제
141,게임 ․ 콘텐츠융합전공,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,562136,게임프로그래밍 캡스톤디자인(게임졸업작 품연구Ⅰ),,3 3,,,김정민 김진훈,화13:30-1 :30,공다B 10 - 프로그램실습실 공가A 207 - PC실습실2,만화게임그래픽 전공 만화게임 학년 우선 신청/3일차 제한 해제
142,국방드론융합전공,,,697001,무인기조종제어,,3,,,스마강사11,"월1 :30-17:30, 화1 :30-17:30",공다A 12 - IT융합실험실,
142,국방드론융합전공,2,,697002,탐색적데이터분석,,3,,,AI빅강사1,"월13:30-1 :30, 화13:30-1 :30",공다B 301 - 강의실(공용),
142,국방드론융합전공,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,697003,현대무기체계론 캡스톤디자인(항공비행제 어시스템) 지형영상촬영제작,,3 3 3,,,스마강사11 스마강사11,금1 :00-1 :30 수09:30-13:30 금09:30-13:30,공다B 302 - 강의실(공용)/공나A 11 공다A 12 - IT융합실험실 공다A 12 - IT융합실험실 - 강의실(공용),
143,지식재산창업융합전공,,,696000,창의지식재산소양,,3,,,,,공나B 112 -스마트강의실,
143,지식재산창업융합전공,2,,696001,기업가정신과창업 창의발명아이디어,,3 3,,,,수1 :00-1 :30 수1 :30-17:00,공나B 112 -스마트강의실/공나A 공다B 301 - 강의실(공용),
143,지식재산창업융합전공,3,,696006,디자인씽킹과비즈니스모 델링 미래산업트렌드,,3 3,,,,"화1 :00-1 :30, 목1 :30-17:00 화1 :30-17:00, 목1 :00-1 :30",공나B 112 -스마트강의실 111 - e-강의실(공용) 공나B 112 -스마트강의실,
143,지식재산창업융합전공,3,,696010,창의BM지식재산,,3,,,,,공다B 301 - 강의실(공용),
143,지식재산창업융합전공,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,696011,테크노 ․ 소셜 ․ 아트프러너십,,3,,,,수1 :30-17:00,공나B 112 -스마트강의실/공나A 111 - e-강의실(공용),
144,전기차핵심기술융합전공,1 2,,530003,코딩의기초 전기전자공학개론 에너지저장소재부품개론,,3 3,,,,수1 :00-1 :30,공다A 21 - 강의실(공용) 공다A 210 - 강의실(공용) 공나B 09 -,
144,전기차핵심기술융합전공,1 2,,530007,전력변환공학,,3 3,,,,목11:30-13:00,강의실(공용) 공다B 202 - 전력시스템실험실,
144,전기차핵심기술융합전공,3,,530008,에너지소재공학,,3,,,,,e-learning(온라인)1,[원격수업]
144,전기차핵심기술융합전공,3,,530011,전기차전력변환시스템설 계,,3,,,박범수,,공다A 210 - 강의실(공용),
144,전기차핵심기술융합전공,3,전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,530012,탄소재료공학,,3,,,,,e-learning(온라인)1,[원격수업]
146,통일한국인재융합전공,2,,362010,세계화와통일한국 남북한경제의이해,,3 3,,,,,사10 - 강의실 e-learning(온라인)2,[원격수업]
146,통일한국인재융합전공,2,,362020,미중관계의국제정치,,3,,,,,e-learning(온라인)2,[원격수업]
146,통일한국인재융합전공,2,,362018,북한이탈주민연구,,3,,,,,사10 - 강의실,
146,통일한국인재융합전공,3,,362021,통일인문독서,,3,,,,,사10 - 강의실,
146,통일한국인재융합전공,3,※ )음영처리 )교과목은 )마이크로전공 )교과목임,362022,통일한국사회복지,,3,,,,,사10 - 강의실,
